<2020-07-26 13:37:14,223>--<test_login.py>--line:27--<INFO>--测试用例通过
<2020-07-26 13:37:15,300>--<test_login.py>--line:27--<INFO>--测试用例通过
<2020-07-26 13:37:15,767>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:16,164>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:16,531>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:16,881>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:17,227>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:17,547>--<test_login.py>--line:41--<INFO>--测试用例通过
<2020-07-26 13:37:39,556>--<test_login.py>--line:55--<INFO>--测试用例通过
